gene_id,gene,log2.fold_change.,p_value,q_value,Sig
ENSMUSG00000090231.10,Cfb,7.51683,5e-05,0.000496523,Up
ENSMUSG00000001131.11,Timp1,7.38921,0.0411,0.122619,Up
ENSMUSG00000019942.12,Cdk1,7.37331,5e-05,0.000496523,Up
ENSMUSG00000029304.14,Spp1,7.09584,5e-05,0.000496523,Up
ENSMUSG00000079017.3,Ifi27l2a,6.89063,0.0042,0.020542,Up
ENSMUSG00000050370.4,Ch25h,6.54097,0.04015,0.120508,Up
ENSMUSG00000050335.16,Lgals3,6.37282,5e-05,0.000496523,Up
ENSMUSG00000056888.11,Glipr1,6.04812,0.0098,0.0402597,Up
ENSMUSG00000037725.7,Ckap2,5.9572,0.044,0.129468,Up
ENSMUSG00000035493.9,Tgfbi,5.91839,1e-04,0.00091011,Up
ENSMUSG00000030107.10,Usp18,5.87158,5e-05,0.000496523,Up
ENSMUSG00000006219.12,Fblim1,5.86679,0.03635,0.111998,Up
ENSMUSG00000037411.10,Serpine1,5.65382,5e-05,0.000496523,Up
ENSMUSG00000034855.13,Cxcl10,5.63786,0.0012,0.00737635,Up
ENSMUSG00000026358.13,Rgs1,5.63616,0.0425,0.125919,Up
ENSMUSG00000036594.14,H2-Aa,5.62857,0.001,0.00630289,Up
ENSMUSG00000040613.14,Apobec1,5.59839,0.0464,0.134585,Up
ENSMUSG00000040204.6,2810417H13Rik,5.56805,1e-04,0.00091011,Up
ENSMUSG00000035692.6,Isg15,5.5212,5e-05,0.000496523,Up
ENSMUSG00000047798.15,Cd300lf,5.51383,2e-04,0.0016564,Up
ENSMUSG00000029816.10,Gpnmb,5.48805,5e-05,0.000496523,Up
ENSMUSG00000034947.13,Tmem106a,5.4843,0.0448,0.131355,Up
ENSMUSG00000043091.8,Tuba1c,5.42068,5e-05,0.000496523,Up
ENSMUSG00000045382.6,Cxcr4,5.41779,5e-05,0.000496523,Up
ENSMUSG00000087107.7,AI662270,5.39483,5e-05,0.000496523,Up
ENSMUSG00000079419.4,Ms4a6c,5.35236,5e-05,0.000496523,Up
ENSMUSG00000001473.6,Tubb6,5.29821,0.00445,0.021561,Up
ENSMUSG00000019214.13,Chtf18,-5.22635,0.00995,0.0406608,Down
ENSMUSG00000015340.10,Cybb,5.19777,1e-04,0.00091011,Up
ENSMUSG00000028494.12,Plin2,5.17613,5e-05,0.000496523,Up
ENSMUSG00000056737.14,Capg,5.11975,5e-05,0.000496523,Up
ENSMUSG00000027306.15,Nusap1,5.1059,5e-05,0.000496523,Up
ENSMUSG00000039899.5,Fgl2,5.08028,0.03705,0.113312,Up
ENSMUSG00000028037.13,Ifi44,5.07637,4e-04,0.00295434,Up
ENSMUSG00000029217.16,Tec,5.02804,5e-05,0.000496523,Up
ENSMUSG00000001506.10,Col1a1,5.02567,5e-05,0.000496523,Up
ENSMUSG00000024679.10,Ms4a6d,5.02124,5e-05,0.000496523,Up
ENSMUSG00000069516.7,Lyz2,4.99453,5e-05,0.000496523,Up
ENSMUSG00000025498.14,Irf7,4.96941,5e-05,0.000496523,Up
ENSMUSG00000035352.3,Ccl12,4.95198,5e-04,0.0035596,Up
ENSMUSG00000029380.11,Cxcl1,4.94666,0.0193,0.0689571,Up
ENSMUSG00000021624.9,Cd180,4.94304,0.00225,0.0122757,Up
ENSMUSG00000029661.16,Col1a2,4.93995,5e-05,0.000496523,Up
ENSMUSG00000020914.17,Top2a,4.92582,5e-05,0.000496523,Up
ENSMUSG00000029373.7,Pf4,4.92403,5e-05,0.000496523,Up
ENSMUSG00000028364.15,Tnc,4.91443,5e-05,0.000496523,Up
ENSMUSG00000026728.9,Vim,4.90924,5e-05,0.000496523,Up
ENSMUSG00000046718.7,Bst2,4.89423,0.00025,0.00198959,Up
ENSMUSG00000025491.14,Ifitm1,4.87773,5e-05,0.000496523,Up
ENSMUSG00000031838.7,Ifi30,4.85594,5e-05,0.000496523,Up
ENSMUSG00000038147.13,Cd84,4.84928,0.04355,0.128387,Up
ENSMUSG00000024529.13,Lox,4.849,5e-05,0.000496523,Up
ENSMUSG00000027907.4,S100a11,4.79548,0.044,0.129468,Up
ENSMUSG00000049130.5,C5ar1,4.77992,7e-04,0.00471333,Up
ENSMUSG00000033213.16,AA467197,4.76424,5e-05,0.000496523,Up
ENSMUSG00000052305.5,Hbb-bs,4.76216,5e-05,0.000496523,Up
ENSMUSG00000097705.1,Gm26740,4.70716,0.04745,0.136673,Up
ENSMUSG00000019929.15,Dcn,4.70107,5e-05,0.000496523,Up
ENSMUSG00000048572.4,Tmem252,4.65937,5e-05,0.000496523,Up
ENSMUSG00000042286.13,Stab1,4.64948,5e-05,0.000496523,Up
ENSMUSG00000024672.11,Ms4a7,4.60651,0.00185,0.0104609,Up
ENSMUSG00000048327.6,Ckap2l,4.57775,0.00035,0.00263998,Up
ENSMUSG00000042489.15,Clspn,4.55254,0.00025,0.00198959,Up
ENSMUSG00000025001.11,Hells,4.52731,0.00015,0.00129406,Up
ENSMUSG00000022014.14,Epsti1,4.51481,0.002,0.0111567,Up
ENSMUSG00000024659.14,Anxa1,4.50675,5e-05,0.000496523,Up
ENSMUSG00000030208.15,Emp1,4.50295,5e-05,0.000496523,Up
ENSMUSG00000068220.5,Lgals1,4.50276,5e-05,0.000496523,Up
ENSMUSG00000021886.6,Gpr65,4.4827,0.00025,0.00198959,Up
ENSMUSG00000034205.16,Loxl2,4.47762,0.00015,0.00129406,Up
ENSMUSG00000052688.12,Rab7b,4.477,5e-05,0.000496523,Up
ENSMUSG00000005397.7,Nid1,4.46847,5e-05,0.000496523,Up
ENSMUSG00000036446.4,Lum,4.46104,5e-05,0.000496523,Up
ENSMUSG00000001918.17,Slc1a5,4.42187,0.00025,0.00198959,Up
ENSMUSG00000015355.13,Cd48,4.37939,0.0103,0.0418023,Up
ENSMUSG00000020649.11,Rrm2,4.33011,5e-05,0.000496523,Up
ENSMUSG00000005087.17,Cd44,4.32627,5e-05,0.000496523,Up
ENSMUSG00000067149.6,Jchain,4.29935,5e-05,0.000496523,Up
ENSMUSG00000089929.1,Bcl2a1b,4.27087,0.00625,0.0280809,Up
ENSMUSG00000001123.15,Lgals9,4.24317,0.00065,0.00443922,Up
ENSMUSG00000033220.6,Rac2,4.22314,0.0014,0.00834559,Up
ENSMUSG00000026042.16,Col5a2,4.21347,4e-04,0.00295434,Up
ENSMUSG00000054717.6,Hmgb2,4.21302,5e-05,0.000496523,Up
ENSMUSG00000069792.5,Wfdc17,4.20183,0.00265,0.0139673,Up
ENSMUSG00000030921.16,Trim30a,4.20113,5e-05,0.000496523,Up
