"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","22/218","469/28943",1.11976356489578e-11,2.58329454421456e-08,2.24306322525965e-08,"Gabrb2/Tmem108/Gjd2/Kcnip2/Gabra1/Tmem25/Npas4/Rims3/Reln/Scn1a/Gabrd/Scn4b/Kcnh2/Dpp6/Rims2/Cacnb4/Ptpn3/Gabrg2/Kcnab2/Src/Fgf12/Grin1",22
"GO:1904062","GO:1904062","regulation of cation transmembrane transport","19/218","414/28943",4.37257208651058e-10,5.04376190178996e-07,4.37947614769981e-07,"Kcns1/Kcnab3/Cabp1/Kcnip2/Reln/Lrrc55/Scn4b/Kcnh2/Dpp6/Fxyd7/Arc/Cacnb4/Ptpn3/Hecw1/Kcnc1/Rasgrf2/Kcnab2/Fgf12/Grin1",19
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","15/218","255/28943",1.12772032928998e-09,8.67216933223997e-07,7.53000626890821e-07,"Syt2/Slc17a6/Vamp1/Kcnc3/Nat8l/Rims3/Cadps2/Chrm2/Cplx1/Nr4a1/Rims2/Prkca/Cacnb4/Gad1/Syt1",15
"GO:1904862","GO:1904862","inhibitory synapse assembly","6/218","17/28943",1.96819145818362e-09,1.1351544235074e-06,9.85649564453535e-07,"Cbln4/Gabrb2/Gabra1/Npas4/Gabrg2/Lgi2",6
"GO:0006836","GO:0006836","neurotransmitter transport","14/218","243/28943",5.35241731218782e-09,2.46960534784346e-06,2.14434739896704e-06,"Syt2/Slc17a6/Vamp1/Kcnc3/Nat8l/Rims3/Cadps2/Chrm2/Cplx1/Nr4a1/Rims2/Prkca/Cacnb4/Syt1",14
"GO:0050808","GO:0050808","synapse organization","19/218","496/28943",8.46132577584385e-09,3.25337976081196e-06,2.82489525463699e-06,"Cbln4/Gabrb2/Tmem108/Cabp1/Syndig1/Dlgap3/Gabra1/Npas4/Rims3/Reln/Sorbs2/Arc/Prkca/Cacnb4/Atp2b2/Nefl/Gabrg2/Lgi2/Grin1",19
"GO:0007269","GO:0007269","neurotransmitter secretion","12/218","186/28943",1.9436485305456e-08,5.60499644996088e-06,4.8667936231951e-06,"Syt2/Vamp1/Kcnc3/Rims3/Cadps2/Chrm2/Cplx1/Nr4a1/Rims2/Prkca/Cacnb4/Syt1",12
"GO:0099643","GO:0099643","signal release from synapse","12/218","186/28943",1.9436485305456e-08,5.60499644996088e-06,4.8667936231951e-06,"Syt2/Vamp1/Kcnc3/Rims3/Cadps2/Chrm2/Cplx1/Nr4a1/Rims2/Prkca/Cacnb4/Syt1",12
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","14/218","293/28943",5.64381666762845e-08,1.44669833913543e-05,1.25616176824526e-05,"Kcns1/Cabp1/Reln/Lrrc55/Scn4b/Fxyd7/Arc/Prkca/Cacnb4/Ptpn3/Hecw1/Kcnc1/Rasgrf2/Fgf12",14
"GO:0071805","GO:0071805","potassium ion transmembrane transport","12/218","207/28943",6.34395265657245e-08,1.46354987787126e-05,1.27079388478499e-05,"Kcns1/Kcnab3/Kcnc3/Kcnip2/Lrrc55/Kcna4/Kcnh2/Dpp6/Kcnj9/Kcnq5/Kcnc1/Kcnab2",12
"GO:0010959","GO:0010959","regulation of metal ion transport","17/218","458/28943",8.33311908982325e-08,1.6421426257706e-05,1.42586517776171e-05,"Kcns1/Kcnab3/Cabp1/Kcnip2/Lrrc55/Scn4b/Kcnh2/Dpp6/Fxyd7/Cacnb4/Ptpn3/Hecw1/Atp2b2/Kcnc1/Kcnab2/Fgf12/Grin1",17
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","14/218","303/28943",8.54170416525672e-08,1.6421426257706e-05,1.42586517776171e-05,"Kcns1/Cabp1/Reln/Lrrc55/Scn4b/Fxyd7/Arc/Prkca/Cacnb4/Ptpn3/Hecw1/Kcnc1/Rasgrf2/Fgf12",14
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","10/218","137/28943",9.53096824094033e-08,1.65833192242605e-05,1.43992227243254e-05,"Syt2/Vamp1/Rims3/Cadps2/Chrm2/Cplx1/Rims2/Prkca/Cacnb4/Syt1",10
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","13/218","260/28943",1.00635660658711e-07,1.65833192242605e-05,1.43992227243254e-05,"Syt2/Slc17a6/Vamp1/Syndig1/Rims3/Cadps2/Chrm2/Cplx1/Rims2/Arc/Prkca/Cacnb4/Syt1",13
"GO:0032409","GO:0032409","regulation of transporter activity","14/218","317/28943",1.485855197182e-07,2.28524529326591e-05,1.98426837911392e-05,"Kcns1/Cabp1/Reln/Lrrc55/Scn4b/Fxyd7/Arc/Prkca/Cacnb4/Ptpn3/Hecw1/Kcnc1/Rasgrf2/Fgf12",14
"GO:0099504","GO:0099504","synaptic vesicle cycle","12/218","230/28943",1.99567587569804e-07,2.87751515327211e-05,2.49853367858774e-05,"Syt2/Slc17a6/Vamp1/Syndig1/Rims3/Cadps2/Chrm2/Cplx1/Rims2/Prkca/Cacnb4/Syt1",12
"GO:0006813","GO:0006813","potassium ion transport","12/218","244/28943",3.7621565926968e-07,4.94573066053914e-05,4.29435605457349e-05,"Kcns1/Kcnab3/Kcnc3/Kcnip2/Lrrc55/Kcna4/Kcnh2/Dpp6/Kcnj9/Kcnq5/Kcnc1/Kcnab2",12
"GO:0043270","GO:0043270","positive regulation of ion transport","14/218","343/28943",3.85882756348958e-07,4.94573066053914e-05,4.29435605457349e-05,"Nat8l/Kcnip2/Reln/Lrrc55/Scn4b/Kcnh2/Dpp6/Arc/Cacnb4/Atp2b2/Kcnc1/Fgf12/Grin1/Syt1",14
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","8/218","93/28943",5.35585473524486e-07,6.50313519695258e-05,5.64664352419445e-05,"Kcns1/Kcnab3/Kcnip2/Lrrc55/Kcnh2/Dpp6/Kcnc1/Kcnab2",8
"GO:0097484","GO:0097484","dendrite extension","6/218","42/28943",7.12960750733435e-07,8.22400225971017e-05,7.14086478234593e-05,"Syt2/Tmem108/Cpne9/Rnf157/Rims2/Syt1",6
"GO:0031630","GO:0031630","regulation of synaptic vesicle fusion to presynaptic active zone membrane","4/218","11/28943",9.91315919341896e-07,0.000103952992087352,9.02619231821831e-05,"Syt2/Vamp1/Cplx1/Syt1",4
"GO:1901632","GO:1901632","regulation of synaptic vesicle membrane organization","4/218","11/28943",9.91315919341896e-07,0.000103952992087352,9.02619231821831e-05,"Syt2/Vamp1/Cplx1/Syt1",4
