"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","95/1211","459/28943",3.79574714519025e-39,2.12599797602106e-35,1.16709235906323e-35,"Serpine1/Cxcl10/Cxcr4/Irf7/Cxcl1/Cd180/C5ar1/Lgals1/Lgals9/Rac2/Hmgb2/Trim30a/Fcgr1/Fcer1g/Ctsc/C3ar1/Clec7a/Fn1/Adam8/Lbp/Havcr2/Gimap5/Ly86/Plau/Il1b/Ripk1/Trim30d/Ccl3/Tyrobp/Fcgr3/Dhx58/Aif1/Trim12c/Ctss/Alox5ap/Ifi35/Nckap1l/Pla2g4a/Tnfrsf1a/Mndal/Pycard/Trem2/Grn/Sting1/Ifi203/Vav1/Cd24a/Cebpa/Ccr5/Zc3hav1/Lgmn/Parp9/Pgf/Irgm1/Spi1/Flna/Cgas/Cmklr1/Syk/Ets1/Mdk/H2-M3/Nectin2/Dysf/Cebpb/Nupr1/Mmrn2/Igtp/Nmi/Adam17/Tirap/Plat/Stat5a/Ccn4/Hspb1/Ninj1/Trim56/Ano6/Csf1/Casp6/Edn1/Nrp1/Kdr/Swap70/Pdgfb/Cx3cr1/Nfkbia/Il33/Nfkbiz/P2rx4/Ptgs2/Smoc2/Tradd/Pdgfrb/Rps19",95
"GO:0050900","GO:0050900","leukocyte migration","84/1211","385/28943",1.68263144203536e-36,4.71220935342003e-33,2.58682444325541e-33,"Spp1/Ch25h/Lgals3/Serpine1/Cxcl10/Ccl12/Cxcl1/Pf4/C5ar1/Anxa1/Lgals9/Rac2/Fcer1g/C3ar1/Ccl6/Ccl9/Mmp9/Slamf9/Ccl4/Adam8/Itgb2/Lbp/Msn/Mmp14/Enpp1/Il1b/Ptafr/Ecm1/Cxcl16/Ccl3/Itgam/Fcgr3/Aif1/B4galt1/Icam1/Nckap1l/Cnn2/Pycard/Trem2/Gcnt1/Myo1f/Pecam1/Vav1/Cd9/Cd24a/Lyn/Lgmn/Cd200/Pgf/Spi1/F11r/Irak4/Apod/Cmklr1/Syk/Mdk/Myd88/Dysf/Cxcl5/Itgb1/Adam17/Eps8/Tirap/Cklf/Csf3r/Podxl/Ninj1/Ano6/Csf1/Hsd3b7/Edn1/Itga6/Jam2/Swap70/Pdgfb/Cx3cr1/Vcam1/Selplg/Il33/Rhog/P2rx4/Rps19/Arhgef5/Foxj1",84
"GO:0002697","GO:0002697","regulation of immune effector process","87/1211","464/28943",1.64830843054897e-32,3.07739183983492e-29,1.68937155285387e-29,"Cfb/Lgals3/Fgl2/Cxcl1/Bst2/Cd84/Anxa1/Lgals9/Rac2/Fcgr1/Fcer1g/Hmox1/Fes/Ncf1/H2-T23/Itgb2/Lbp/Rsad2/Tap1/Mzb1/H2-Q4/Havcr2/Gimap5/Ptprc/Il1b/Ptafr/Tnfrsf1b/H2-K1/Tyrobp/Itgam/H2-Q7/H2-Q9/Cd244a/Laptm5/Fcgr3/Dhx58/Cd40/Cfh/Nckap1l/Pycard/Trem2/Grn/Vav1/Cd24a/Fcgr2b/Litaf/Ptpn6/H2-DMb1/Lyn/Rigi/C4b/Ighm/Parp3/Spi1/H2-D1/Il4ra/Tnfsf13/B2m/Cgas/Syk/Tap2/Cd37/Cd86/H2-M3/Nectin2/Myd88/Irf1/Serping1/Cxcl5/Tirap/Stat5a/Vsir/Lacc1/Hlx/Cx3cr1/Axl/Cr1l/Il33/Cfp/Nfkbiz/Angpt1/H2-T22/Mapkapk2/Rps19/Rara/Foxj1/Ddx21",87
"GO:0045765","GO:0045765","regulation of angiogenesis","70/1211","308/28943",9.33561880044324e-32,1.30722002253206e-28,7.17614276739334e-29,"Lgals3/Serpine1/Cxcl10/Cxcr4/C5ar1/Dcn/Stab1/Hmox1/Cyp1b1/C3ar1/Mmp9/Itgb2/Il1b/Ecm1/Cdh5/Lrg1/Ctsh/Sp100/Angpt2/Cd40/Ecscr/Hk2/Tnfrsf1a/Grn/Adamts1/Creb3l1/Serpinf1/Cela1/Hspb6/Pgf/Rhoj/Adgra2/Anxa3/Tgfbr2/Sulf1/Foxc1/Ets1/Mdk/Stat1/Nfe2l2/Shc1/Erap1/Acvrl1/Pde3b/Itgb1/Sparc/Klf2/Pxn/Runx1/Hspb1/Ninj1/Id1/Col4a2/Cldn5/Nrp1/Gadd45a/Kdr/F3/Nos3/Adm/Cx3cr1/Stat3/Ramp2/Emp2/Rnh1/Stard13/Chil1/Klf4/Smoc2/Btg1",70
"GO:1901342","GO:1901342","regulation of vasculature development","70/1211","312/28943",2.21044504343726e-31,2.47614053765842e-28,1.3593073625011e-28,"Lgals3/Serpine1/Cxcl10/Cxcr4/C5ar1/Dcn/Stab1/Hmox1/Cyp1b1/C3ar1/Mmp9/Itgb2/Il1b/Ecm1/Cdh5/Lrg1/Ctsh/Sp100/Angpt2/Cd40/Ecscr/Hk2/Tnfrsf1a/Grn/Adamts1/Creb3l1/Serpinf1/Cela1/Hspb6/Pgf/Rhoj/Adgra2/Anxa3/Tgfbr2/Sulf1/Foxc1/Ets1/Mdk/Stat1/Nfe2l2/Shc1/Erap1/Acvrl1/Pde3b/Itgb1/Sparc/Klf2/Pxn/Runx1/Hspb1/Ninj1/Id1/Col4a2/Cldn5/Nrp1/Gadd45a/Kdr/F3/Nos3/Adm/Cx3cr1/Stat3/Ramp2/Emp2/Rnh1/Stard13/Chil1/Klf4/Smoc2/Btg1",70
"GO:0001667","GO:0001667","ameboidal-type cell migration","86/1211","471/28943",2.90307196467789e-31,2.71001767902681e-28,1.48769705417967e-28,"Timp1/Serpine1/Cxcr4/Dcn/Anxa1/Loxl2/Hmox1/Cyp1b1/Mmp9/Glipr2/Fn1/Adam8/Itgb2/Lpxn/Clec14a/Cdh5/Lrg1/Ctsh/Sp100/Angpt2/Cd40/Snai1/Grn/Pecam1/Cd63/Arhgdib/Serpinf1/Lgmn/Rhoj/Atoh8/Adgra2/Anxa3/Tgfbr2/Robo4/Myh9/Ets1/Nrp2/Fstl1/Pfn1/Nfe2l2/Mmrn2/Acvrl1/Cd248/Itgb1/Sparc/Prcp/Adam17/Pkn3/Stat5a/Pxn/Hspb1/Sgpl1/Edn1/Nrp1/Gadd45a/Kdr/Sox10/Akap12/Nos3/Pdgfb/Hbegf/Sema3d/Bmp7/Iqgap1/Emp2/Tns3/Pdlim1/Stard13/Acta2/Scarb1/Amotl1/Angpt1/P2rx4/Ptgs2/Rab13/Dock1/Jun/Klf4/Nr2f2/Igf1/Smoc2/Sdc4/Vstm4/Sox17/Efnb1/Tgfbr1",86
"GO:0042060","GO:0042060","wound healing","76/1211","380/28943",1.92338642681418e-30,1.53898391094089e-27,8.44843872590109e-28,"Timp1/Serpine1/Cxcr4/Tec/Col1a1/Pf4/Lox/Anxa1/Cd44/Fcer1g/Hmox1/Nbeal2/Clec7a/Fn1/Anxa2/Slc11a1/Ccn1/F13a1/Fermt3/Plau/Vwf/Lrg1/Procr/Sdc1/Myof/B4galt1/Cfh/Plek/Pla2g4a/Cnn2/Pecam1/Cd9/Ptpn6/Pros1/Fbln1/Lyn/Prkcd/F11r/Ahnak/Flna/Phldb2/Syk/Cflar/Myh9/Mustn1/Fkbp10/Tfpi/Dysf/Nfe2l2/Cdkn1a/Serping1/Acvrl1/Itgb1/Prcp/Cd151/Pdgfra/Plat/Ccn4/Ano6/Cav1/Kdr/F3/Pdgfb/Hbegf/Axl/Ccm2l/Slc7a11/Acta2/Pear1/Anxa5/Elk3/F2r/Thbd/Igf1/Smoc2/Sdc4",76
"GO:0060326","GO:0060326","cell chemotaxis","68/1211","314/28943",1.57926558294004e-29,1.1056833162559e-26,6.06978258916823e-27,"Spp1/Ch25h/Lgals3/Serpine1/Cxcl10/Cxcr4/Ccl12/Cxcl1/Pf4/Lox/C5ar1/Anxa1/Rac2/Hmgb2/Fcer1g/C3ar1/Ccl6/Ccl9/Slamf9/Ccl4/Adam8/Itgb2/Lbp/Il1b/Cxcl16/Ccl3/Itgam/Fcgr3/Aif1/Bin2/Nckap1l/Vav1/Ccr5/Lyn/Prkcd/Lgmn/Pgf/Spi1/Cmklr1/Syk/Mdk/Dysf/Cxcl5/Adam17/Tirap/Cklf/Pdgfra/Csf3r/Hspb1/Ninj1/Ano6/Csf1/Hsd3b7/Edn1/Nrp1/Kdr/Swap70/Pdgfb/Hbegf/Cx3cr1/Vcam1/Rhog/P2rx4/Rab13/Smoc2/Pdgfrb/Rps19/Arhgef5",68
"GO:0010631","GO:0010631","epithelial cell migration","69/1211","328/28943",3.92544640247093e-29,2.44293614447108e-26,1.34107940837633e-26,"Serpine1/Cxcr4/Dcn/Anxa1/Loxl2/Hmox1/Cyp1b1/Mmp9/Glipr2/Adam8/Itgb2/Lpxn/Clec14a/Cdh5/Lrg1/Ctsh/Sp100/Angpt2/Cd40/Snai1/Grn/Pecam1/Cd63/Serpinf1/Lgmn/Rhoj/Atoh8/Adgra2/Anxa3/Tgfbr2/Robo4/Myh9/Ets1/Fstl1/Pfn1/Nfe2l2/Mmrn2/Acvrl1/Itgb1/Sparc/Prcp/Adam17/Pkn3/Stat5a/Pxn/Hspb1/Nrp1/Gadd45a/Kdr/Nos3/Pdgfb/Hbegf/Emp2/Tns3/Stard13/Scarb1/Amotl1/Angpt1/P2rx4/Ptgs2/Rab13/Dock1/Jun/Klf4/Nr2f2/Igf1/Smoc2/Vstm4/Tgfbr1",69
"GO:0090132","GO:0090132","epithelium migration","69/1211","330/28943",5.79722747238011e-29,3.2470271072801e-26,1.78249488913919e-26,"Serpine1/Cxcr4/Dcn/Anxa1/Loxl2/Hmox1/Cyp1b1/Mmp9/Glipr2/Adam8/Itgb2/Lpxn/Clec14a/Cdh5/Lrg1/Ctsh/Sp100/Angpt2/Cd40/Snai1/Grn/Pecam1/Cd63/Serpinf1/Lgmn/Rhoj/Atoh8/Adgra2/Anxa3/Tgfbr2/Robo4/Myh9/Ets1/Fstl1/Pfn1/Nfe2l2/Mmrn2/Acvrl1/Itgb1/Sparc/Prcp/Adam17/Pkn3/Stat5a/Pxn/Hspb1/Nrp1/Gadd45a/Kdr/Nos3/Pdgfb/Hbegf/Emp2/Tns3/Stard13/Scarb1/Amotl1/Angpt1/P2rx4/Ptgs2/Rab13/Dock1/Jun/Klf4/Nr2f2/Igf1/Smoc2/Vstm4/Tgfbr1",69
