SRR5343877, BA9_neg_5540
SRR5343878, BA9_pos_5540
SRR5343879, NAcc_neg_5540
SRR5343880, NAcc_pos_5540
SRR5343881, BA9_neg_5456
SRR5343882, BA9_pos_5456
SRR5343883, NAcc_neg_5456
SRR5343884, NAcc_pos_5456
SRR5343885, BA9_neg_5343
SRR5343886, BA9_pos_5343
SRR5343887, NAcc_neg_5343
SRR5343888, NAcc_pos_5343
SRR5343889, BA9_pos_5358
SRR5343890, NAcc_pos_5358
SRR5343891, BA9_neg_5404
SRR5343892, BA9_pos_5404
SRR5343893, NAcc_neg_5347
SRR5343894, NAcc_pos_5347
SRR5343895, BA9_neg_5347
SRR5343896, BA9_pos_5347
